Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,<30,30s,40s,50s,60s,70s,80+,Total_pop,<30_%,30s_%,40s_%,50s_%,60s_%,70s_%,80+_%,est_death_rate_%,deaths/confirmed_%,deaths/million
Congo (Brazzaville),2020-04-11 22:45:13,-4.2634,15.2832,60,5,5,2497276.0,528109.0,317489.0,177108.0,104768.0,55719.0,17021.0,3697490.0,67.53976346115878,14.282905430440652,8.586608753505756,4.789952102642603,2.8334897457464385,1.5069411952432596,0.46033931126250505,0.18247457058707395,8.333333333333332,1.3522687012000032
Costa Rica,2020-04-11 22:45:13,9.7489,-83.7534,577,3,49,2259474.0,735405.0,610946.0,603842.0,445851.0,229848.0,118307.0,5003673.0,45.1563081760139,14.697303360951045,12.20995057031105,12.067974865663682,8.91047436553108,4.593585552053462,2.364403109475779,0.5765974714974379,0.5199306759098787,0.5995595635446201
Cote d'Ivoire,2020-04-11 22:45:13,7.54,-5.5471,533,4,58,15751910.0,3130251.0,1783626.0,1087416.0,564890.0,244108.0,104670.0,22666871.0,69.49309412843088,13.809806391010035,7.868867299769783,4.797380282439512,2.4921392988030857,1.0769373505500606,0.4617752489966524,0.15780640830399573,0.7504690431519699,0.17646899741918504
Croatia,2020-04-11 22:45:13,45.1,15.2,1534,21,323,1294181.0,552831.0,543591.0,591011.0,555410.0,355202.0,213320.0,4105546.0,31.522749958227237,13.465468417599025,13.240407000676646,14.395429986657074,13.528285884508417,8.651760326153939,5.195898426177663,1.0333422643419412,1.3689700130378095,5.11503220278131
Cuba,2020-04-11 22:45:13,21.521757,-77.78116700000002,620,16,77,3984999.0,1368446.5,1789664.5,1802795.0,1123432.5,758843.5,573648.0,11401829.0,34.95052416590356,12.00199108406204,15.696293112271725,15.811454460508045,9.853090236662908,6.655454138103632,5.031192802488092,0.8871708653059085,2.5806451612903225,1.4032836310735761
Cyprus,2020-04-11 22:45:13,35.1264,33.4299,616,10,61,330953.0,131696.0,116968.0,103890.0,81362.0,50491.0,24948.0,840308.0,39.38472560061311,15.672348710234818,13.919658030150849,12.363323924084979,9.682402166824545,6.008630168938057,2.9689113991536438,0.6964140529424927,1.6233766233766231,11.90039842533928
Czechia,2020-04-11 22:45:13,49.8175,15.473,5831,129,411,3335639.0,1541809.0,1675966.0,1317890.0,1383116.0,928213.0,427609.0,10610242.0,31.437916307658202,14.531327372174923,15.795737740948793,12.420923104298657,13.03566874346504,8.748273602053564,4.030153129400818,0.9418925788874561,2.2123134968273024,12.158063878279119
Denmark,2020-04-11 22:45:13,61.8926,-6.9118,6191,260,2111,2083874.0,674218.0,769744.0,796680.0,663871.0,537011.0,258535.0,5783933.0,36.028667690306925,11.656739453932126,13.308314601846183,13.77401847497196,11.47784734020951,9.28453009396893,4.469882344764367,0.9732951609225072,4.199644645453078,44.95211130557702
Dominica,2020-04-11 22:45:13,15.415,-61.371,16,0,5,33714.0,8536.0,9425.0,7039.0,4652.0,3454.0,2093.0,68913.0,48.922554525270996,12.386632420588278,13.676664780230144,10.214328210932626,6.750540536618635,5.012116726887525,3.0371627994717976,0.6023754589119614,0.0,0.0
Dominican Republic,2020-04-11 22:45:13,18.7357,-70.1627,2759,135,108,5435317.0,1349795.0,1079857.0,724649.0,454834.0,260558.0,140271.0,9445281.0,57.54531813293855,14.290681240716927,11.432767325821223,7.672074552361121,4.8154628750589845,2.7586050642643665,1.4850908088388266,0.3541902459016307,4.893077201884741,14.292851636706203
