Country_Region,Age,Values
Ghana,40s,2124448.0
Ghana,50s,1356793.0
Ghana,60s,769720.0
Ghana,70s,557283.0
Ghana,80+,339521.0
Greece,Total,10741165.0
Greece,< 30,3219441.0
Greece,30s,1418805.0
Greece,40s,1619329.0
Greece,50s,1483863.0
Greece,60s,1268304.0
Greece,70s,990552.0
Greece,80+,740871.0
Grenada,Total,111467.0
Grenada,< 30,53240.0
Grenada,30s,13664.0
Grenada,40s,12638.0
Grenada,50s,11060.0
Grenada,60s,6329.0
Grenada,70s,4124.0
Grenada,80+,1914.0
Guatemala,Total,17311085.7991684
Guatemala,< 30,11588340.38312393
Guatemala,30s,2201743.604871909
Guatemala,40s,1434858.1203302508
Guatemala,50s,918742.6996310421
Guatemala,60s,1167400.99121122
Guinea,Total,10523261.0
Guinea,< 30,7496495.0
Guinea,30s,1143059.0
Guinea,40s,766196.0
Guinea,50s,509370.0
Guinea,60s,332162.0
Guinea,70s,180567.0
Guinea,80+,95412.0
Guinea-Bissau,Total,1449230.0
Guinea-Bissau,< 30,1059223.0
Guinea-Bissau,30s,158462.0
Guinea-Bissau,40s,100493.0
Guinea-Bissau,50s,60075.0
Guinea-Bissau,60s,37478.0
Guinea-Bissau,70s,18964.0
Guinea-Bissau,80+,11252.0
Guyana,Total,746955.0
Guyana,< 30,424988.0
Guyana,30s,104578.0
Guyana,40s,91070.0
Guyana,50s,66487.0
Guyana,60s,35348.0
Guyana,70s,17247.0
Guyana,80+,7237.0
Honduras,Total,8303771.481000001
Honduras,< 30,5429371.185209999
Honduras,30s,1052106.6895299999
Honduras,40s,717581.1851600001
Honduras,50s,503964.2989999999
Honduras,60s,325345.01313
Honduras,70s,184972.67247
Honduras,80+,95313.92062999998
Hungary,Total,9778371.0
Hungary,< 30,3115475.0
Hungary,30s,1323506.0
Hungary,40s,1558261.0
Hungary,50s,1207262.0
Hungary,60s,1324480.0
Hungary,70s,821456.0
Hungary,80+,427931.0
Iceland,Total,348450.0
Iceland,< 30,142984.0
Iceland,30s,49155.0
Iceland,40s,44224.0
Iceland,50s,43753.0
Iceland,60s,35378.0
Iceland,70s,20575.0
Iceland,80+,12381.0
India,Total,1210854977.0
India,< 30,705808752.0
India,30s,173735635.0
India,40s,134756439.0
India,50s,88215309.0
India,60s,64118690.0
India,70s,28441345.0
India,80+,11289005.0
Indonesia,Total,237641326.0
