Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
South Africa,2020-03-25 23:33:04,-30.5595,22.9375,709,0,12
Spain,2020-03-25 23:33:04,40.463667,-3.74922,49515,3647,5367
Sri Lanka,2020-03-25 23:33:04,7.873054,80.77179699999998,102,0,3
Sudan,2020-03-25 23:33:04,12.8628,30.2176,3,1,0
Suriname,2020-03-25 23:33:04,3.9193,-56.0278,8,0,0
Sweden,2020-03-25 23:33:04,60.128161,18.643501,2526,62,16
Switzerland,2020-03-25 23:33:04,46.8182,8.2275,10897,153,131
Tanzania,2020-03-25 23:33:04,-6.369028,34.888822,12,0,0
Thailand,2020-03-25 23:33:04,15.870032,100.992541,934,4,70
Timor-Leste,2020-03-25 23:33:04,-8.874217,125.727539,1,0,0
Togo,2020-03-25 23:33:04,8.6195,0.8248,23,0,1
Trinidad and Tobago,2020-03-25 23:33:04,10.6918,-61.2225,60,1,0
Tunisia,2020-03-25 23:33:04,33.886917,9.537499,173,5,2
Turkey,2020-03-25 23:33:04,38.9637,35.2433,2433,59,26
Uganda,2020-03-25 23:33:04,1.373333,32.290275,14,0,0
Ukraine,2020-03-25 23:33:04,48.3794,31.1656,145,5,1
Uruguay,2020-03-25 23:33:04,-32.5228,-55.7658,189,0,0
Uzbekistan,2020-03-25 23:33:04,41.377491,64.585262,60,0,0
Venezuela,2020-03-25 23:33:04,6.4238,-66.5897,91,0,15
Vietnam,2020-03-25 23:33:04,14.058324,108.277199,141,0,17
Zambia,2020-03-25 23:33:04,-13.133897,27.849332,12,0,0
Zimbabwe,2020-03-25 23:33:04,-19.015438,29.154857,3,1,0
