Country_Region,Age,Values,relative_pop
Czechia,40s,1675966.0,0.007960800925911417
Czechia,50s,1317890.0,0.007960800925911417
Czechia,60s,1383116.0,0.007960800925911417
Czechia,70s,928213.0,0.007960800925911417
Czechia,80+,427609.0,0.007960800925911417
Denmark,<30,2083874.0,0.004339650234349942
Denmark,30s,674218.0,0.004339650234349942
Denmark,40s,769744.0,0.004339650234349942
Denmark,50s,796680.0,0.004339650234349942
Denmark,60s,663871.0,0.004339650234349942
Denmark,70s,537011.0,0.004339650234349942
Denmark,80+,258535.0,0.004339650234349942
Dominica,<30,33714.0,5.170501051788767e-05
Dominica,30s,8536.0,5.170501051788767e-05
Dominica,40s,9425.0,5.170501051788767e-05
Dominica,50s,7039.0,5.170501051788767e-05
Dominica,60s,4652.0,5.170501051788767e-05
Dominica,70s,3454.0,5.170501051788767e-05
Dominica,80+,2093.0,5.170501051788767e-05
Dominican Rep,<30,5435317.0,0.007086737675756454
Dominican Rep,30s,1349795.0,0.007086737675756454
Dominican Rep,40s,1079857.0,0.007086737675756454
Dominican Rep,50s,724649.0,0.007086737675756454
Dominican Rep,60s,454834.0,0.007086737675756454
Dominican Rep,70s,260558.0,0.007086737675756454
Dominican Rep,80+,140271.0,0.007086737675756454
Ecuador,<30,8440652.0,0.010866882418858786
Ecuador,30s,2006015.0,0.010866882418858786
Ecuador,40s,1569143.0,0.010866882418858786
Ecuador,50s,1126025.0,0.010866882418858786
Ecuador,60s,724576.0,0.010866882418858786
Ecuador,70s,405309.0,0.010866882418858786
Ecuador,80+,211779.0,0.010866882418858786
Egypt,<30,57852249.0,0.071126991237044
Egypt,30s,13830704.0,0.071126991237044
Egypt,40s,9545234.0,0.071126991237044
Egypt,50s,7258467.0,0.071126991237044
Egypt,60s,4369561.0,0.071126991237044
Egypt,70s,1480236.0,0.071126991237044
Egypt,80+,462376.0,0.071126991237044
El Salvador,<30,3722967.0,0.004980288017144014
El Salvador,30s,881082.0,0.004980288017144014
El Salvador,40s,716351.0,0.004980288017144014
El Salvador,50s,533641.0,0.004980288017144014
El Salvador,60s,371222.0,0.004980288017144014
El Salvador,70s,233437.0,0.004980288017144014
El Salvador,80+,179082.0,0.004980288017144014
Estonia,<30,435656.0,0.0009899821727819358
Estonia,30s,188315.0,0.0009899821727819358
Estonia,40s,180698.0,0.0009899821727819358
Estonia,50s,172219.0,0.0009899821727819358
Estonia,60s,161075.0,0.0009899821727819358
Estonia,70s,109172.0,0.0009899821727819358
Estonia,80+,72324.0,0.0009899821727819358
Eswatini,<30,723352.0,0.0007635929625660939
Eswatini,30s,114623.0,0.0007635929625660939
Eswatini,40s,75156.0,0.0007635929625660939
Eswatini,50s,47975.0,0.0007635929625660939
Eswatini,60s,33569.0,0.0007635929625660939
Eswatini,70s,15827.0,0.0007635929625660939
Eswatini,80+,7223.0,0.0007635929625660939
Ethiopia,<30,54003344.0,0.055334881876627315
Ethiopia,30s,7996708.0,0.055334881876627315
Ethiopia,40s,5120284.0,0.055334881876627315
Ethiopia,50s,3061786.0,0.055334881876627315
Ethiopia,60s,2040261.0,0.055334881876627315
Ethiopia,70s,1026736.0,0.055334881876627315
Ethiopia,80+,501813.0,0.055334881876627315
Finland,<30,1868556.0,0.004136743725789649
Finland,30s,702767.0,0.004136743725789649
Finland,40s,660703.0,0.004136743725789649
Finland,50s,734554.0,0.004136743725789649
Finland,60s,737233.0,0.004136743725789649
Finland,70s,514580.0,0.004136743725789649
Finland,80+,295104.0,0.004136743725789649
France,<30,22751467.0,0.048674562542151655
France,30s,8035336.0,0.048674562542151655
France,40s,8388238.0,0.048674562542151655
France,50s,8532078.0,0.048674562542151655
France,60s,7803284.0,0.048674562542151655
France,70s,5331800.0,0.048674562542151655
France,80+,4031783.0,0.048674562542151655
Georgia,<30,1451499.0,0.002798321267291526
Georgia,30s,524706.0,0.002798321267291526
Georgia,40s,477608.0,0.002798321267291526
Georgia,50s,506374.0,0.002798321267291526
Georgia,60s,410695.0,0.002798321267291526
Georgia,70s,234886.0,0.002798321267291526
Georgia,80+,123865.0,0.002798321267291526
Germany,<30,25152920.0,0.06212150720388521
Germany,30s,10453462.0,0.06212150720388521
Germany,40s,10731644.0,0.06212150720388521
Germany,50s,13369561.0,0.06212150720388521
Germany,60s,10086747.0,0.06212150720388521
Germany,70s,7847332.0,0.06212150720388521
Germany,80+,5154554.0,0.06212150720388521
Ghana,<30,16433989.0,0.018509101759133388
Ghana,30s,3100212.0,0.018509101759133388
Ghana,40s,2124448.0,0.018509101759133388
Ghana,50s,1356793.0,0.018509101759133388
Ghana,60s,769720.0,0.018509101759133388
Ghana,70s,557283.0,0.018509101759133388
Ghana,80+,326687.0,0.018509101759133388
Greece,<30,3219441.0,0.008059031667455587
Greece,30s,1418805.0,0.008059031667455587
Greece,40s,1619329.0,0.008059031667455587
Greece,50s,1483863.0,0.008059031667455587
Greece,60s,1268304.0,0.008059031667455587
Greece,70s,990552.0,0.008059031667455587
Greece,80+,740871.0,0.008059031667455587
Grenada,<30,53240.0,7.725702302927423e-05
Grenada,30s,13664.0,7.725702302927423e-05
Grenada,40s,12638.0,7.725702302927423e-05
Grenada,50s,11060.0,7.725702302927423e-05
