country,update,lat,long,confirmed,deaths,recovered,under30,thirties,fourties,fifties,sixties,seventies,eighties,total_pop,under30_frac,thirties_frac,fourties_frac,fifties_frac,sixties_frac,seventies_frac,eighties_frac,est_death_percent,deaths_per_conf_perc,deaths_per_10k,over_sixty,over_sixty_perc,relative_pop
Ethiopia,2020-04-15 22:56:32,9.145,40.4897,85,3,15,54003344.0,7996708.0,5120284.0,3061786.0,2040261.0,1026736.0,501813.0,73750932.0,73.22394786821135,10.842856873998555,6.942670229577573,4.151521773311285,2.7664206331656933,1.3921668135665053,0.6804158081690411,0.18474103486583737,3.5294117647058822,0.0004067745204901275,3568810.0,4.83900325490124,0.055334881876627315
Finland,2020-04-15 22:56:32,61.92411,25.748151,3237,72,300,1868556.0,702767.0,660703.0,734554.0,737233.0,514580.0,295104.0,5513497.0,33.890577976191885,12.746302392111577,11.983374616872014,13.32283304044602,13.37142289185974,9.333096580990249,5.352392501528522,1.0652877656412982,2.2242817423540315,0.13058862641985658,1546917.0,28.05691197437851,0.004136743725789649
France,2020-04-15 22:56:32,4.0,-53.0,134582,17188,31470,22751467.0,8035336.0,8388238.0,8532078.0,7803284.0,5331800.0,4031783.0,64873986.0,35.07024680123709,12.386067968754071,12.930048725540003,13.15177088085816,12.02837143381324,8.218702639914866,6.214791549882568,1.0592179768328094,12.771395877606217,2.649444108459745,17166867.0,26.46186562361067,0.048674562542151655
Georgia,2020-04-15 22:56:32,42.3154,43.3569,306,3,71,1451499.0,524706.0,477608.0,506374.0,410695.0,234886.0,123865.0,3729633.0,38.918011504080965,14.068569213110244,12.805763998763418,13.577046320643346,11.011673266511746,6.297831448831561,3.3211042480587234,0.7562838756521084,0.9803921568627451,0.008043686872139966,769446.0,20.63060896340203,0.002798321267291526
Germany,2020-04-15 22:56:32,51.165691,10.451526,134753,3804,72600,25152920.0,10453462.0,10731644.0,13369561.0,10086747.0,7847332.0,5154554.0,82796220.0,30.379309586838627,12.625530489193832,12.96151442662479,16.14754997269199,12.182617757187465,9.477886792416369,6.225590975046928,1.1287081934416812,2.8229427174163098,0.4594412643475753,23088633.0,27.886095524650763,0.06212150720388521
Ghana,2020-04-15 22:56:32,7.9465,-1.0232,636,8,17,16433989.0,3100212.0,2124448.0,1356793.0,769720.0,557283.0,326687.0,24669132.0,66.6176215685254,12.567170989234643,8.611766315896318,5.4999624632111095,3.120174637680807,2.2590296245526593,1.3242744008990668,0.28246743744368463,1.257861635220126,0.0032429191266235067,1653690.0,6.703478663132534,0.018509101759133388
Greece,2020-04-15 22:56:32,39.0742,21.8243,2192,102,269,3219441.0,1418805.0,1619329.0,1483863.0,1268304.0,990552.0,740871.0,10741165.0,29.972921931652664,13.209042035943028,15.075915880633058,13.814730525040813,11.807881174900487,9.222016420006582,6.897492031823364,1.153828229991812,4.653284671532846,0.09496176625161236,2999727.0,27.92738962673043,0.008059031667455587
Grenada,2020-04-15 22:56:32,12.1165,-61.679,14,0,0,53240.0,13664.0,12638.0,11060.0,6329.0,4124.0,1914.0,102969.0,51.7048820518797,13.270013304975285,12.273596907807203,10.741096834969747,6.146510114694713,4.005088910254543,1.8588118754188154,0.4667589274441823,0.0,0.0,12367.0,12.010410900368072,7.725702302927423e-05
Guinea,2020-04-15 22:56:32,9.9456,-9.6966,404,1,31,7496495.0,1143059.0,766196.0,509370.0,332162.0,180567.0,95412.0,10523261.0,71.23737594268545,10.86221276845647,7.280974975342719,4.840419714003103,3.156455019028797,1.715884458249206,0.906677122234258,0.22391547639082598,0.24752475247524752,0.0009502757747812204,608141.0,5.7790165995122615,0.007895539603376389
Guinea-Bissau,2020-04-15 22:56:32,11.8037,-15.1804,43,0,0,1059223.0,158462.0,100493.0,60075.0,37478.0,18964.0,11252.0,1445947.0,73.25462136579003,10.959046216770048,6.949978111230909,4.1547165974963125,2.5919345591505083,1.311528015895465,0.778175133666725,0.18583122341275302,0.0,0.0,67694.0,4.681637708712699,0.001084885360429935
Guyana,2020-04-15 22:56:32,4.860416000000002,-58.93018000000001,55,6,8,424988.0,104578.0,91070.0,66487.0,35348.0,17247.0,7237.0,746955.0,56.89606468930525,14.00057567055579,12.192166864135055,8.901071684371884,4.7322797223393644,2.3089744362110167,0.9688669330816447,0.301825545046221,10.909090909090908,0.08032612406369861,59832.0,8.010121091632026,0.0005604358558093361
Honduras,2020-04-15 22:56:32,15.2,-86.2419,419,31,9,5429371.185400001,1052106.68949,717581.1851300001,503964.299,325345.01313,184972.67247,91250.19327999999,8304591.2379,65.37794612481056,12.668976224723236,8.640776705000793,6.068502164200902,3.917652342058809,2.2273543293236724,1.0987921098820348,0.2792378147898342,7.398568019093078,0.037328748775164323,601567.87888,7.243798781264515,0.006230884989804206
Hungary,2020-04-15 22:56:32,47.1625,19.5033,1579,134,192,3115475.0,1323506.0,1558261.0,1207262.0,1324480.0,821456.0,427931.0,9778371.0,31.86087948595937,13.535035641417165,15.935793395443884,12.3462486747537,13.544996400729733,8.400744868444857,4.376301533251295,0.958356509484044,8.486383787207092,0.13703714043985446,2573867.0,26.322042802425884,0.007336653104679926
Iceland,2020-04-15 22:56:32,64.9631,-19.0208,1727,8,1077,142984.0,49155.0,44224.0,43753.0,35378.0,20575.0,12381.0,348450.0,41.034294733821206,14.10675850193715,12.691634380829386,12.556464342086382,10.152963122399196,5.904720906873296,3.5531640120533794,0.739049504950495,0.4632310364794441,0.22958817620892524,68334.0,19.61084804132587,0.00026143994478484403
India,2020-04-15 22:56:32,20.593684,78.96288,12322,405,1432,705808752.0,173735635.0,134756439.0,88215309.0,64118690.0,28441345.0,11289005.0,1206365175.0,58.50705628998284,14.401579107254983,11.170451683504542,7.3124880283451485,5.315031578228375,2.357606601168672,0.9357867115154415,0.30330118365693043,3.28680409024509,0.0033571924023751763,103849040.0,8.608424890912488,0.9051285542900236
