Country_Region,Age,relative_pop,Values
Colombia,60+,0.031113479762596385,3721943.0
Congo,<30,0.002774204567204801,2497276.0
Congo,30s,0.002774204567204801,528109.0
Congo,40s,0.002774204567204801,317489.0
Congo,50s,0.002774204567204801,177108.0
Congo,60+,0.002774204567204801,177508.0
Costa Rica,<30,0.0037542258368242643,2259474.0
Costa Rica,30s,0.0037542258368242643,735405.0
Costa Rica,40s,0.0037542258368242643,610946.0
Costa Rica,50s,0.0037542258368242643,603842.0
Costa Rica,60+,0.0037542258368242643,794006.0
Cote d'Ivoire,<30,0.01700681734161338,15751910.0
Cote d'Ivoire,30s,0.01700681734161338,3130251.0
Cote d'Ivoire,40s,0.01700681734161338,1783626.0
Cote d'Ivoire,50s,0.01700681734161338,1087416.0
Cote d'Ivoire,60+,0.01700681734161338,913668.0
Croatia,<30,0.0030803665362365827,1294181.0
Croatia,30s,0.0030803665362365827,552831.0
Croatia,40s,0.0030803665362365827,543591.0
Croatia,50s,0.0030803665362365827,591011.0
Croatia,60+,0.0030803665362365827,1123932.0
Cuba,<30,0.008554723903590855,3984999.0
Cuba,30s,0.008554723903590855,1368446.5
Cuba,40s,0.008554723903590855,1789664.5
Cuba,50s,0.008554723903590855,1802795.0
Cuba,60+,0.008554723903590855,2455924.0
Cyprus,<30,0.0006304780517212303,330953.0
Cyprus,30s,0.0006304780517212303,131696.0
Cyprus,40s,0.0006304780517212303,116968.0
Cyprus,50s,0.0006304780517212303,103890.0
Cyprus,60+,0.0006304780517212303,156801.0
Czechia,<30,0.007960800925911417,3335639.0
Czechia,30s,0.007960800925911417,1541809.0
Czechia,40s,0.007960800925911417,1675966.0
Czechia,50s,0.007960800925911417,1317890.0
Czechia,60+,0.007960800925911417,2738938.0
Denmark,<30,0.004339650234349942,2083874.0
Denmark,30s,0.004339650234349942,674218.0
Denmark,40s,0.004339650234349942,769744.0
Denmark,50s,0.004339650234349942,796680.0
Denmark,60+,0.004339650234349942,1459417.0
Dominica,<30,5.170501051788767e-05,33714.0
Dominica,30s,5.170501051788767e-05,8536.0
Dominica,40s,5.170501051788767e-05,9425.0
Dominica,50s,5.170501051788767e-05,7039.0
Dominica,60+,5.170501051788767e-05,10199.0
Dominican Rep,<30,0.007086737675756454,5435317.0
Dominican Rep,30s,0.007086737675756454,1349795.0
Dominican Rep,40s,0.007086737675756454,1079857.0
Dominican Rep,50s,0.007086737675756454,724649.0
Dominican Rep,60+,0.007086737675756454,855663.0
Ecuador,<30,0.010866882418858786,8440652.0
Ecuador,30s,0.010866882418858786,2006015.0
Ecuador,40s,0.010866882418858786,1569143.0
Ecuador,50s,0.010866882418858786,1126025.0
Ecuador,60+,0.010866882418858786,1341664.0
Egypt,<30,0.071126991237044,57852249.0
Egypt,30s,0.071126991237044,13830704.0
Egypt,40s,0.071126991237044,9545234.0
Egypt,50s,0.071126991237044,7258467.0
Egypt,60+,0.071126991237044,6312173.0
El Salvador,<30,0.004980288017144014,3722967.0
El Salvador,30s,0.004980288017144014,881082.0
El Salvador,40s,0.004980288017144014,716351.0
El Salvador,50s,0.004980288017144014,533641.0
El Salvador,60+,0.004980288017144014,783741.0
Estonia,<30,0.0009899821727819358,435656.0
Estonia,30s,0.0009899821727819358,188315.0
Estonia,40s,0.0009899821727819358,180698.0
Estonia,50s,0.0009899821727819358,172219.0
