country,update,lat,long,confirmed,deaths,recovered,est_death_percent,deaths_per_conf_perc,over_sixty_perc
Romania,2020-04-15 22:56:32,45.9432,24.9668,7216,372,1217,0.9254429823593513,5.155210643015521,25.094673080455003
Russia,2020-04-15 22:56:32,61.52401,105.318756,24490,198,1986,0.7389595530724385,0.8084932625561453,18.818899743739127
Rwanda,2020-04-15 22:56:32,-1.9403,29.8739,136,0,54,0.20155459616885335,0.0,4.908223002278385
Saint Lucia,2020-04-15 22:56:32,13.9094,-60.9789,15,0,11,0.5167038489159157,0.0,13.87671299587924
San Marino,2020-04-15 22:56:32,43.9424,12.4578,372,36,53,1.0305632904049193,9.67741935483871,25.39157674904281
Sao Tome and Principe,2020-04-15 22:56:32,0.18636,6.613081,4,0,0,0.22291135845514284,0.0,5.29703634169237
Saudi Arabia,2020-04-15 22:56:32,23.885942,45.079162,5862,79,931,0.2255287208884031,1.3476629136813374,5.496901566604795
Senegal,2020-04-15 22:56:32,14.4974,-14.4524,314,2,190,0.17184400401366468,0.6369426751592357,3.5170787166260298
Republic of Serbia,2020-04-15 22:56:32,44.0165,21.0059,4873,99,0,0.9827631985630392,2.0316027088036117,27.530777936665636
Seychelles,2020-04-15 22:56:32,-4.6796,55.492,11,0,0,0.5437997558507142,0.0,15.704850641152717
Sierra Leone,2020-04-15 22:56:32,8.460555000000001,-11.779889,13,0,0,0.20826410972301204,0.0,5.064936218585349
Singapore,2020-04-15 22:56:32,1.2833,103.8333,3699,10,652,0.3933276050219743,0.2703433360367667,9.832292127562983
Slovakia,2020-04-15 22:56:32,48.669,19.699,863,6,151,0.7866693734475816,0.6952491309385863,22.263150546010376
Slovenia,2020-04-15 22:56:32,46.1512,14.9955,1248,61,165,1.009423817541415,4.887820512820513,26.500183851989473
Somalia,2020-04-15 22:56:32,5.152149,46.199616,80,5,2,0.1547829071809595,6.25,3.9115644167378796
South Africa,2020-04-15 22:56:32,-30.5595,22.9375,2506,34,410,0.30676253944520426,1.3567438148443736,8.019524304087003
South Korea,2020-04-15 22:56:32,35.90775700000001,127.766922,10591,225,7616,0.7734280300751262,2.12444528373147,20.855822932683864
